SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,3387,3387,0,0,0,-745,-745,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,428,129,299,0,0,4,3,1,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,3161,1317,1821,23,0,311,192,118,1,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,2509,1364,1126,19,0,300,231,69,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,2374,1612,754,8,0,143,83,60,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,2867,1440,1398,29,0,68,1,64,3,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,2298,781,1440,77,0,123,73,48,2,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,3168,1258,1813,97,0,229,155,70,4,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2385,690,1695,0,0,34,4,30,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,1038,381,652,5,0,63,27,36,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,1031,450,572,9,0,76,43,31,2,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,850,627,214,9,0,204,160,44,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,1328,525,791,12,0,51,-104,154,1,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,495,348,140,7,0,76,73,0,3,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,1611,774,828,9,0,84,-277,361,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,1692,837,850,5,0,47,-67,113,1,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,4,4,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,102,38,64,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,10,0,10,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,3,2,1,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,0,4,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,4,2,2,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,3,0,3,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,3,3,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,12,12,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,18,13,5,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,133,116,17,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
